Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Bobby Durkin,45,115,12,13,2,3,3,6,0,0,0,6,2,2,0,2,0
Cade Tyson,45,114,27,20,2,7,3,9,7,10,3,5,4,1,1,1,1
Isaac Asuma,33,104,20,8,1,3,2,6,0,0,1,2,6,2,0,2,5
Jaylen Crocker-Johnson,30,95,19,10,2,4,2,6,0,1,1,0,1,1,0,0,4
Langston Reynolds,30,102,26,12,4,7,1,4,1,2,4,2,2,2,1,1,4
Kai Shinholster,24,58,11,0,0,1,0,2,0,0,1,0,3,1,0,1,1
Grayson Grove,18,102,18,6,1,2,1,2,1,2,0,3,1,1,1,1,1
TOTAL,225,,69,,12,27,12,35,9,15,15,18,19,11,3,8,16
