Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Jaylen Crocker-Johnson,36,118,21,17,2,6,4,8,1,1,2,5,2,1,1,1,1
Bobby Durkin,35,138,19,19,4,5,3,7,2,2,0,3,3,1,1,1,1
Cade Tyson,29,101,23,12,4,5,1,5,1,2,1,3,3,2,0,0,4
Isaac Asuma,29,64,27,5,1,4,1,10,0,0,2,3,4,1,0,1,3
Langston Reynolds,27,39,26,2,0,4,0,0,2,5,3,3,2,5,0,3,4
Kai Shinholster,24,136,9,3,0,0,1,2,0,0,0,4,5,1,0,0,1
Grayson Grove,17,91,6,2,1,1,0,0,0,2,0,2,1,0,0,3,1
Cadmus Gizzi,2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,200,,60,,12,25,10,32,6,12,13,27,20,12,2,9,15
