Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Isaac Asuma,42,114,15,9,0,1,2,5,3,4,1,2,7,2,1,1,2
Jaylen Crocker-Johnson,39,97,17,11,4,8,1,4,0,0,2,9,2,1,1,0,4
Cade Tyson,37,126,30,27,4,9,3,5,10,14,2,3,1,1,0,0,5
Chansey Willis,37,75,21,8,3,5,0,3,2,7,0,4,5,2,1,4,1
Robert Vaihola,18,78,18,4,1,1,0,0,2,9,2,3,0,0,1,2,4
Langston Reynolds,24,72,19,5,2,4,0,1,1,2,1,3,1,2,0,1,0
Grayson Grove,16,123,12,4,2,3,0,0,0,1,1,5,1,0,0,1,2
Bobby Durkin,11,66,30,4,1,2,0,4,2,2,0,0,0,0,0,1,2
TOTAL,225,,72,,17,33,6,22,20,39,11,30,17,8,4,10,20
