Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Bobby Durkin,43,78,13,6,0,2,2,7,0,0,2,2,1,1,0,0,3
Isaac Asuma,43,97,22,12,0,3,3,9,3,4,2,6,5,2,2,3,4
Langston Reynolds,41,99,21,12,3,8,0,0,6,7,0,2,5,3,0,2,2
Jaylen Crocker-Johnson,39,120,28,26,10,12,1,7,3,4,2,6,0,1,1,1,3
Cade Tyson,33,159,16,15,1,2,2,4,7,8,1,4,1,0,0,0,5
Grayson Grove,17,115,10,3,1,1,0,1,1,2,1,2,0,0,0,0,1
Kai Shinholster,9,,,0,0,2,0,0,0,0,0,0,1,0,1,0,1
TOTAL,225,,74,,15,30,8,28,20,25,9,22,13,9,4,6,19
