Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Cade Tyson,39,132,31,29,7,11,1,5,12,14,2,3,4,2,0,1,3
Isaac Asuma,37,113,18,13,4,4,3,7,2,2,0,4,5,2,1,2,2
Jaylen Crocker-Johnson,30,91,12,6,3,5,0,2,0,0,1,5,1,1,0,0,1
Langston Reynolds,22,85,29,12,5,8,0,1,2,4,0,1,1,3,0,0,3
Grayson Grove,19,84,10,2,1,1,0,0,0,2,1,3,2,1,0,0,2
Bobby Durkin,30,108,14,7,0,0,1,5,4,5,1,2,2,1,0,2,0
Kai Shinholster,22,131,19,6,0,2,2,4,0,0,5,2,4,1,0,1,1
TOTAL,200,,75,,17,31,7,24,20,27,13,21,19,11,1,6,12
