Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Cade Tyson,39,141,20,19,5,6,1,4,6,7,1,2,2,1,0,0,2
Jaylen Crocker-Johnson,38,109,30,23,4,10,3,5,6,8,1,3,1,3,4,0,4
Isaac Asuma,27,151,12,6,0,2,2,3,0,0,0,1,4,0,0,1,3
Grayson Grove,19,103,15,5,2,3,0,0,1,2,1,0,0,1,0,0,2
Chansey Willis,4,,,0,0,0,0,0,0,0,0,1,0,2,0,0,2
Langston Reynolds,32,74,22,6,3,4,0,0,0,1,1,5,4,6,0,0,2
Bobby Durkin,23,133,16,9,0,0,3,6,0,0,0,5,2,1,0,0,3
Kai Shinholster,16,40,7,0,0,0,0,2,0,0,1,0,0,0,0,0,1
TOTAL,200,,68,,14,25,9,20,13,18,6,19,13,14,4,1,19
