Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Langston Reynolds,39,109,27,22,9,12,0,1,4,6,0,5,4,4,1,1,2
Isaac Asuma,36,81,20,10,2,2,0,5,6,6,0,2,1,3,0,2,4
Cade Tyson,32,110,25,16,3,7,2,5,4,6,0,5,3,0,0,2,3
Jaylen Crocker-Johnson,31,84,27,10,2,3,1,5,3,6,1,5,4,3,2,2,2
Bobby Durkin,30,156,11,9,1,1,1,3,4,4,0,1,2,0,0,0,3
Grayson Grove,16,92,6,0,0,1,0,0,0,0,1,3,1,0,0,2,1
Kai Shinholster,15,146,8,3,0,1,1,1,0,0,1,1,0,0,0,1,2
TOTAL,200,,70,,17,27,5,20,21,28,3,25,15,10,3,10,17
