Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Cade Tyson,39,124,18,14,3,6,1,2,5,7,2,2,1,1,0,1,2
Chansey Willis,34,102,18,9,2,5,0,0,5,9,0,3,3,1,0,3,1
Jaylen Crocker-Johnson,22,111,23,10,2,3,1,3,3,5,1,2,0,1,1,0,5
Isaac Asuma,21,33,28,2,1,5,0,3,0,0,0,2,2,3,1,0,2
Nehemiah Turner,9,,1,,0,2,0,0,1,2,2,0,0,1,0,1,1
Langston Reynolds,32,92,32,16,6,8,1,1,1,7,1,4,3,5,0,1,1
Bobby Durkin,22,184,12,9,0,0,3,5,0,0,2,3,0,0,0,0,0
Grayson Grove,21,145,8,4,2,3,0,0,0,0,1,1,0,0,2,1,4
TOTAL,200,,65,,16,32,6,14,15,30,9,18,9,12,4,7,16
