Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Cade Tyson,39,106,21,14,4,8,1,2,3,6,1,4,3,1,0,1,2
Isaac Asuma,38,138,20,17,4,6,2,5,3,4,1,8,5,0,0,0,2
Langston Reynolds,38,130,21,12,4,6,0,2,4,5,0,3,10,1,0,0,5
Jaylen Crocker-Johnson,33,106,31,20,6,9,1,4,5,7,2,6,0,2,1,0,2
Bobby Durkin,29,100,14,7,2,2,1,4,0,0,0,0,2,1,0,0,2
Grayson Grove,16,116,12,5,2,3,0,0,1,2,0,1,0,0,1,2,1
Kai Shinholster,7,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TOTAL,200,,75,,22,34,5,18,16,24,4,23,20,5,2,3,14
