Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Cade Tyson,40,108,25,17,3,6,2,4,5,6,4,4,3,5,0,1,3
Isaac Asuma,39,112,23,15,3,5,1,5,6,9,2,5,4,2,1,2,2
Langston Reynolds,38,116,22,17,7,11,0,0,3,4,0,5,4,3,0,1,0
Bobby Durkin,37,158,11,12,0,1,3,6,3,3,0,4,2,0,0,0,1
Jaylen Crocker-Johnson,25,84,31,11,2,3,2,6,1,1,2,5,2,5,3,1,4
Grayson Grove,8,,,1,0,0,0,0,1,4,0,2,0,0,2,0,4
Nehemiah Turner,7,,,0,0,0,0,0,0,0,0,2,0,1,1,0,4
Kai Shinholster,6,,,0,0,0,0,0,0,0,0,1,1,0,0,1,0
TOTAL,200,,73,,15,26,8,21,19,27,10,30,16,16,7,6,18
