Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Bobby Durkin,40,80,12,5,1,2,1,6,0,0,0,1,3,1,0,2,1
Cade Tyson,39,99,23,15,5,10,1,3,2,2,3,5,1,3,1,1,5
Isaac Asuma,37,90,21,9,0,4,3,8,0,0,2,5,4,2,1,2,3
Langston Reynolds,37,143,14,11,4,5,1,3,0,0,1,5,1,0,1,1,1
Jaylen Crocker-Johnson,28,135,33,22,3,6,5,12,1,1,2,6,3,0,0,1,3
Grayson Grove,12,138,10,2,1,2,0,0,0,0,2,0,0,0,0,0,2
Kai Shinholster,7,,3,,0,1,1,3,0,0,1,0,0,0,0,0,1
TOTAL,200,,67,,14,30,12,35,3,3,11,20,16,7,2,7,16
