Name,Min,ORtg,%Ps,Pts,2PM,2PA,3PM,3PA,FTM,FTA,OR,DR,A,TO,Blk,Stl,PF
Cade Tyson,40,129,30,24,5,9,1,4,11,12,2,3,6,3,0,0,2
Isaac Asuma,40,135,14,18,2,4,4,7,2,2,0,9,1,1,0,0,2
Langston Reynolds,40,152,20,13,4,6,0,0,5,6,1,5,13,2,0,2,2
Bobby Durkin,28,95,12,5,1,2,0,3,3,4,0,3,1,0,0,0,2
Jaylen Crocker-Johnson,27,82,24,10,3,5,1,4,1,2,0,2,2,3,0,0,4
Grayson Grove,21,205,12,12,6,6,0,0,0,0,2,1,2,0,1,0,4
Kai Shinholster,4,,,2,1,1,0,0,0,0,0,0,0,0,0,0,0
TOTAL,200,,84,,22,33,6,18,22,26,8,25,25,11,1,2,16
